,79bd5,f6bf0
conv016_5,0,0
conv016_6,0,0
conv016_7,0,0
conv016_8,0,0
conv016_9,0,0
conv016_10,0,0
conv016_11,0,0
conv016_12,0,0
conv016_13,0,0
conv016_14,0,0
conv016_15,0,0
conv016_16,0,0
conv016_17,0,0
conv016_18,0,0
conv016_19,0,0
conv016_20,0,0
conv016_21,0,0
conv016_22,0,0
conv016_23,0,0
conv016_24,0,0
conv017_0,0,0
conv017_1,0,0
conv017_2,0,0
conv017_3,0,0
conv017_4,0,0
conv017_5,0,0
conv017_6,0,0
conv017_7,0,0
conv017_8,0,0
conv017_9,0,0
conv017_10,0,0
conv017_11,0,0
conv017_12,0,0
conv017_13,0,0
conv017_14,0,0
conv017_15,0,0
conv017_16,0,0
conv017_17,0,0
conv017_18,0,0
conv017_19,0,0
conv017_20,0,0
conv017_21,0,0
conv017_22,0,0
conv017_23,0,0
conv017_24,0,0
conv017_25,0,0
conv017_26,0,0
conv017_27,0,0
conv017_28,0,0
conv017_29,0,0
conv017_30,0,0
conv017_31,0,0
conv017_32,0,0
conv017_33,0,0
conv017_34,0,0
conv017_35,0,0
conv017_36,0,0
conv017_37,0,0
conv017_38,0,0
conv018_0,0,0
conv018_1,0,0
conv018_2,0,0
conv018_3,0,0
conv018_4,0,0
conv018_5,0,0
conv018_6,0,0
conv018_7,0,0
conv018_8,0,0
conv018_9,0,0
conv018_10,0,0
conv018_11,0,0
conv018_12,0,0
conv018_13,0,0
conv018_14,0,0
conv018_15,0,0
conv018_16,0,0
conv018_17,0,0
conv018_18,0,0
conv018_19,0,0
conv018_20,0,0
conv018_21,0,0
conv018_22,0,0
conv018_23,0,0
conv018_24,0,0
conv018_25,0,0
conv018_26,0,0
conv018_27,0,0
conv018_28,0,0
conv018_29,0,0
conv018_30,0,0
conv018_31,0,0
conv018_32,0,0
conv018_33,0,0
conv018_34,0,0
conv018_35,0,0
conv018_36,0,0
conv018_37,0,0
conv018_38,0,0
conv018_39,0,0
conv018_40,0,0
conv018_41,0,0
conv018_42,0,0
conv019_0,0,0
conv019_1,0,0
conv019_2,0,0
conv019_3,0,0
conv019_4,0,0
conv019_5,0,0
conv019_6,0,0
conv019_7,0,0
conv019_8,0,0
conv019_9,0,0
conv019_10,0,0
conv019_11,0,0
conv019_12,0,0
conv019_13,0,0
conv019_14,0,0
conv019_15,0,0
conv019_16,0,0
conv019_17,0,0
conv019_18,0,0
conv019_19,0,0
conv019_20,0,0
conv019_21,0,0
conv019_22,0,0
conv019_23,0,0
conv019_24,0,0
conv019_25,0,0
conv019_26,0,0
conv019_27,0,0
conv019_28,0,0
conv019_29,0,0
conv019_30,0,0
conv019_31,0,0
conv019_32,0,0
conv019_33,0,0
conv019_34,0,0
conv019_35,0,0
conv019_36,0,0
conv019_37,0,0
conv019_38,0,0
conv019_39,0,0
conv019_40,0,0
conv019_41,0,0
conv019_42,0,0
conv019_43,0,0
conv019_44,0,0
conv019_45,0,0
conv019_46,0,0
conv019_47,0,0
conv019_48,0,0
conv019_49,0,0
conv019_50,0,0
conv020_0,0,0
conv020_1,0,0
conv020_2,0,0
conv020_3,0,0
conv020_4,0,0
conv020_5,0,0
conv020_6,0,0
conv020_7,0,0
conv020_8,0,0
conv020_9,0,0
conv020_10,0,0
conv020_11,0,0
conv020_12,0,0
conv020_13,0,0
conv020_14,0,0
conv020_15,0,0
conv020_16,0,0
conv020_17,0,0
conv020_18,0,0
conv020_19,0,0
conv020_20,0,0
conv020_21,0,0
conv020_22,0,0
conv020_23,0,0
conv020_24,0,0
conv020_25,0,0
conv020_26,0,0
conv020_27,0,0
conv020_28,0,0
conv020_29,0,0
conv020_30,0,0
conv020_31,0,0
conv020_32,0,0
conv020_33,0,0
conv020_34,0,0
conv020_35,0,0
conv020_36,0,0
conv020_37,0,0
conv020_38,0,0
conv020_39,0,0
conv020_40,0,0
conv020_41,0,0
conv020_42,0,0
conv020_43,0,0
conv020_44,0,0
conv020_45,0,0
sci001_0,0,0
sci001_1,0,0
sci001_2,0,0
sci001_3,0,0
sci001_4,0,0
sci001_5,0,0
sci001_6,0,0
sci001_7,0,0
sci001_8,0,0
sci001_9,0,0
sci001_10,0,0
sci001_11,0,0
sci001_12,0,0
sci001_13,0,0
sci001_14,0,0
sci001_15,0,0
sci001_16,0,0
sci001_17,0,0
sci001_18,0,0
sci001_19,0,0
sci001_20,0,0
sci001_21,0,0
sci001_22,0,0
sci001_23,0,0
sci001_24,0,0
sci001_25,0,0
sci001_26,0,0
sci001_27,0,0
sci001_28,0,0
sci001_29,0,0
sci001_30,0,0
sci002_0,0,0
sci002_1,0,0
sci002_2,0,0
sci002_3,0,0
sci002_4,0,0
sci002_5,0,0
sci002_6,0,0
sci002_7,0,0
sci002_8,0,0
sci002_9,0,0
sci002_10,0,0
sci002_11,0,0
sci002_12,0,0
sci002_13,0,0
sci002_14,0,0
sci002_15,0,0
sci002_16,0,0
sci002_17,0,0
sci002_18,0,0
sci002_19,0,0
sci002_20,0,0
sci002_21,0,0
sci002_22,0,0
sci002_23,0,0
sci002_24,0,0
sci002_25,0,0
sci002_26,0,0
sci002_27,0,0
sci002_28,0,0
sci002_29,0,0
sci003_0,0,0
sci003_1,0,0
sci003_2,0,0
sci003_3,0,0
sci003_4,0,0
sci003_5,0,0
sci003_6,0,0
sci003_7,0,0
sci003_8,0,0
sci003_9,0,0
sci003_10,0,0
sci003_11,0,0
sci003_12,0,0
sci003_13,0,0
sci003_14,0,0
sci003_15,0,0
sci003_16,0,0
sci003_17,0,0
sci003_18,0,0
sci003_19,0,0
sci003_20,0,0
sci003_21,0,0
sci003_22,0,0
sci003_23,0,0
sci003_24,0,0
